query	clarifying_question
Tell me about Obama family tree.	are you interested in seeing barack obamas family
Tell me about Obama family tree.	would you like to know barack obamas geneology
Tell me about Obama family tree.	would you like to know about obamas ancestors
Tell me about Obama family tree.	would you like to know who is currently alive from president obamas family tree
Tell me about Obama family tree.	are you looking for biological information on his family
Tell me about Obama family tree.	are you referring to the time magazine essay
Tell me about Obama family tree.	do you want to know more about obamas parents
Tell me about Obama family tree.	how many generations would you like me to list from president obamas family tree
Tell me about Obama family tree.	what would you like to know about obamas heritage
Tell me about Obama family tree.	which family members of obama are you interested in learning more about
Tell me about Obama family tree.	which specific details would you like to learn about obamas heritage
Tell me about Obama family tree.	would you like to hear about president obamas family tree
Tell me about Obama family tree.	are you interested in seeing barack obamas family
Tell me about Obama family tree.	would you like to know barack obamas geneology
Tell me about Obama family tree.	would you like to know about obamas ancestors
Tell me about Obama family tree.	would you like to know who is currently alive from president obamas family tree
Tell me about Obama family tree.	are you looking for biological information on his family
Tell me about Obama family tree.	are you referring to the time magazine essay
Tell me about Obama family tree.	do you want to know more about obamas parents
Tell me about Obama family tree.	how many generations would you like me to list from president obamas family tree
Tell me about Obama family tree.	what would you like to know about obamas heritage
Tell me about Obama family tree.	which family members of obama are you interested in learning more about
Tell me about Obama family tree.	which specific details would you like to learn about obamas heritage
Tell me about Obama family tree.	would you like to hear about president obamas family tree
Tell me about Obama family tree.	are you interested in seeing barack obamas family
Tell me about Obama family tree.	would you like to know barack obamas geneology
Tell me about Obama family tree.	would you like to know about obamas ancestors
Tell me about Obama family tree.	would you like to know who is currently alive from president obamas family tree
Tell me about Obama family tree.	are you looking for biological information on his family
Tell me about Obama family tree.	are you referring to the time magazine essay
Tell me about Obama family tree.	do you want to know more about obamas parents
Tell me about Obama family tree.	how many generations would you like me to list from president obamas family tree
Tell me about Obama family tree.	what would you like to know about obamas heritage
Tell me about Obama family tree.	which family members of obama are you interested in learning more about
Tell me about Obama family tree.	which specific details would you like to learn about obamas heritage
Tell me about Obama family tree.	would you like to hear about president obamas family tree
What is Fickle Creek Farm	are you going to purchase anything there
What is Fickle Creek Farm	are you looking for a place which sales products from fickle creek farm
What is Fickle Creek Farm	are you looking for information about staying at fickle creek farm
What is Fickle Creek Farm	are you looking for specific information regarding fickle creek farm
What is Fickle Creek Farm	do you want the history of fickle creek farm
What is Fickle Creek Farm	do you want to know the animal population at fickle creek farm
What is Fickle Creek Farm	do you want to know the location of fickle creek farm
What is Fickle Creek Farm	would you like to know where fickle creek farm is on a map
What is Fickle Creek Farm	are you going to purchase anything there
What is Fickle Creek Farm	are you looking for a place which sales products from fickle creek farm
What is Fickle Creek Farm	are you looking for information about staying at fickle creek farm
What is Fickle Creek Farm	are you looking for specific information regarding fickle creek farm
What is Fickle Creek Farm	do you want the history of fickle creek farm
What is Fickle Creek Farm	do you want to know the animal population at fickle creek farm
What is Fickle Creek Farm	do you want to know the location of fickle creek farm
What is Fickle Creek Farm	would you like to know where fickle creek farm is on a map
What is Fickle Creek Farm	are you going to purchase anything there
What is Fickle Creek Farm	are you looking for a place which sales products from fickle creek farm
What is Fickle Creek Farm	are you looking for information about staying at fickle creek farm
What is Fickle Creek Farm	are you looking for specific information regarding fickle creek farm
What is Fickle Creek Farm	do you want the history of fickle creek farm
What is Fickle Creek Farm	do you want to know the animal population at fickle creek farm
What is Fickle Creek Farm	do you want to know the location of fickle creek farm
What is Fickle Creek Farm	would you like to know where fickle creek farm is on a map
What is Fickle Creek Farm	are you going to purchase anything there
What is Fickle Creek Farm	are you looking for a place which sales products from fickle creek farm
What is Fickle Creek Farm	are you looking for information about staying at fickle creek farm
What is Fickle Creek Farm	are you looking for specific information regarding fickle creek farm
What is Fickle Creek Farm	do you want the history of fickle creek farm
What is Fickle Creek Farm	do you want to know the animal population at fickle creek farm
What is Fickle Creek Farm	do you want to know the location of fickle creek farm
What is Fickle Creek Farm	would you like to know where fickle creek farm is on a map
What is Fickle Creek Farm	are you going to purchase anything there
What is Fickle Creek Farm	are you looking for a place which sales products from fickle creek farm
What is Fickle Creek Farm	are you looking for information about staying at fickle creek farm
What is Fickle Creek Farm	are you looking for specific information regarding fickle creek farm
What is Fickle Creek Farm	do you want the history of fickle creek farm
What is Fickle Creek Farm	do you want to know the animal population at fickle creek farm
What is Fickle Creek Farm	do you want to know the location of fickle creek farm
What is Fickle Creek Farm	would you like to know where fickle creek farm is on a map
Tell me about sonoma county medical services.	are you interested in the human services department
Tell me about sonoma county medical services.	is this for an emergancy
Tell me about sonoma county medical services.	would you like the different services that are provided
